Module	Section	Sample Name	Source
STAR	SummaryLog	SRR11861905_none	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_none_Log.final.out
STAR	SummaryLog	SRR6048806_deduper	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_deduper_Log.final.out
STAR	SummaryLog	SRR6048806_std	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_std_Log.final.out
STAR	SummaryLog	SRR11861905_skewerqtrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_skewerqtrim_Log.final.out
STAR	SummaryLog	SRR11861905_seqscreener_rrna	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_seqscreener_rrna_Log.final.out
STAR	SummaryLog	SRR11861905_seqscreener_phix	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_seqscreener_phix_Log.final.out
STAR	SummaryLog	SRR6048806_adaptertrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_adaptertrim_Log.final.out
STAR	SummaryLog	SRR6048806_lengthfilter	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_lengthfilter_Log.final.out
STAR	SummaryLog	SRR11861905_lengthfilter	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_lengthfilter_Log.final.out
STAR	SummaryLog	SRR11861905_adapterremoval_adaptertrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_adapterremoval_adaptertrim_Log.final.out
STAR	SummaryLog	SRR6048806_seqscreener_phix	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_seqscreener_phix_Log.final.out
STAR	SummaryLog	SRR6048806_none	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_none_Log.final.out
STAR	SummaryLog	SRR6048806_adapterremoval_adaptertrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_adapterremoval_adaptertrim_Log.final.out
STAR	SummaryLog	SRR11861905_std	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_std_Log.final.out
STAR	SummaryLog	SRR11861905_ntrimmer	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_ntrimmer_Log.final.out
STAR	SummaryLog	SRR6048806_seqscreener_rrna	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_seqscreener_rrna_Log.final.out
STAR	SummaryLog	SRR6048806_ntrimmer	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_ntrimmer_Log.final.out
STAR	SummaryLog	SRR11861905_adaptertrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_adaptertrim_Log.final.out
STAR	SummaryLog	SRR11861905_qtrimmer	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_qtrimmer_Log.final.out
STAR	SummaryLog	SRR6048806_skewerqtrim	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR6048806_skewerqtrim_Log.final.out
STAR	SummaryLog	SRR11861905_deduper	/Users/keithmitchell/Desktop/Repositories/HTStream_eval/raw_eval_data/rna/log_out/SRR11861905_deduper_Log.final.out
