Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mismatch_rate
SRR11861905_adapterremoval_adaptertrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR11861905_adaptertrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR11861905_deduper	18882045.0	280.0	18139761.0	96.07	279.0	17991782.0	17777955.0	17826875.0	122677.0	16636.0	25594.0	0.01	1.85	0.01	1.73	366877.0	1.94	4296.0	0.02	0.0	1.94	0.02	0	367324	3787	0.21
SRR11861905_lengthfilter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR11861905_none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR11861905_ntrimmer	27803269.0	281.0	26639964.0	95.82	279.9	25086598.0	24815615.0	24874077.0	158777.0	21147.0	32597.0	0.01	1.73	0.01	1.7	609404.0	2.19	5538.0	0.02	0.0	1.95	0.02	0	542796	5567	0.21
SRR11861905_qtrimmer	27803269.0	281.0	26611869.0	95.71	280.0	25072899.0	24801977.0	24860471.0	158693.0	21127.0	32608.0	0.01	1.73	0.01	1.7	608670.0	2.19	5542.0	0.02	0.0	2.06	0.02	0	571638	5550	0.21
SRR11861905_seqscreener_phix	27801006.0	281.0	26644540.0	95.84	279.98	25097154.0	24826035.0	24884556.0	158838.0	21151.0	32609.0	0.01	1.73	0.01	1.7	609494.0	2.19	5533.0	0.02	0.0	1.93	0.02	0	535886	5553	0.21
SRR11861905_seqscreener_rrna	27803269.0	281.0	26644542.0	95.83	279.98	25097154.0	24826035.0	24884556.0	158838.0	21151.0	32609.0	0.01	1.73	0.01	1.7	609495.0	2.19	5533.0	0.02	0.0	1.94	0.02	0	538151	5548	0.21
SRR11861905_skewerqtrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR11861905_std	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_adapterremoval_adaptertrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_adaptertrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_deduper	7080828.0	250.0	6576357.0	92.88	248.61	4739679.0	4692856.0	4693856.0	35230.0	3841.0	6752.0	0.01	1.71	0.01	1.51	134273.0	1.9	802.0	0.01	0.0	5.2	0.02	0	367981	1415	0.39
SRR6048806_lengthfilter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_ntrimmer	15649800.0	249.0	14446600.0	92.31	248.22	10566528.0	10470776.0	10471488.0	73062.0	7842.0	14136.0	0.01	1.68	0.01	1.5	307772.0	1.97	1668.0	0.01	0.0	5.69	0.02	0	890629	3131	0.39
SRR6048806_seqscreener_phix	15649730.0	250.0	14426960.0	92.19	248.59	10555292.0	10459644.0	10460368.0	72994.0	7824.0	14106.0	0.01	1.68	0.01	1.5	306800.0	1.96	1652.0	0.01	0.0	5.83	0.02	0	911192	3126	0.39
SRR6048806_seqscreener_rrna	15649800.0	250.0	14426960.0	92.19	248.59	10555292.0	10459644.0	10460368.0	72994.0	7824.0	14106.0	0.01	1.68	0.01	1.5	306800.0	1.96	1652.0	0.01	0.0	5.83	0.02	0	911262	3126	0.39
SRR6048806_skewerqtrim	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
SRR6048806_std	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	
